"Bird","day","Square","Dur.hrs"
334,33,15834,0.0572222222222222
334,33,15835,0.0491666666666667
334,33,15846,0.0147222222222222
334,33,15847,0.0497222222222222
334,33,16015,0.0283333333333333
334,33,16020,0.0566666666666667
334,33,16021,0.0497222222222222
334,33,16032,0.0244444444444444
334,33,16033,0.0397222222222222
334,33,16200,0.0283333333333333
334,33,16206,0.0555555555555556
334,33,16207,0.0508333333333333
334,33,16218,0.0344444444444444
334,33,16219,0.03
334,33,16385,0.0283333333333333
334,33,16392,0.0522222222222222
334,33,16393,0.0638888888888889
334,33,16404,0.0741666666666667
334,33,16570,0.0283333333333333
334,33,16578,0.0338888888888889
334,33,16579,0.0852777777777778
334,33,16589,0.0294444444444444
334,33,16590,0.0466666666666667
334,33,16755,0.0283333333333333
334,33,16764,0.0125
334,33,16765,0.0980555555555556
334,33,16766,0.00833333333333333
334,33,16775,0.0763888888888889
334,33,16940,0.0733333333333333
334,33,16951,0.0894444444444444
334,33,16952,0.0294444444444444
334,33,16960,0.0766666666666667
334,33,17125,0.000277777777777778
334,33,17126,0.0952777777777778
334,33,17137,0.0686111111111111
334,33,17138,0.0505555555555556
334,33,17145,0.00972222222222222
334,33,17146,0.0666666666666667
334,33,17311,0.0541666666666667
334,33,17312,0.0416666666666667
334,33,17323,0.0472222222222222
334,33,17324,0.0716666666666667
334,33,17331,0.0763888888888889
334,33,17497,0.0961111111111111
334,33,17509,0.0261111111111111
334,33,17510,0.0930555555555556
334,33,17516,0.325555555555556
334,33,17517,0.697777777777778
334,33,17682,0.0116666666666667
334,33,17683,0.0838888888888889
334,33,17695,0.005
334,33,17696,0.0977777777777778
334,33,17697,0.0161111111111111
334,33,17699,0.0075
334,33,17700,0.116944444444444
334,33,17701,0.116944444444444
334,33,17702,0.717777777777778
334,33,17868,0.0655555555555556
334,33,17869,0.101944444444444
334,33,17882,0.0816666666666667
334,33,17883,0.115277777777778
334,33,17884,0.109444444444444
334,33,18054,0.0561111111111111
334,33,18055,0.158888888888889
334,33,18056,0.158888888888889
334,33,18057,0.0208333333333333
334,33,18242,0.137777777777778
334,33,18243,0.159166666666667
334,33,18244,0.0977777777777778
334,33,18246,2.09055555555556
334,33,18429,0.0605555555555556
334,33,18430,0.485277777777778
334,33,18431,0.0552777777777778
334,34,12869,0.0927777777777778
334,34,13054,0.194722222222222
334,34,13239,0.429166666666667
334,34,13424,0.754444444444444
334,34,13609,20.6405555555556
334,35,11946,1.51583333333333
334,35,11947,0.0763888888888889
334,35,11948,0.00833333333333333
334,35,12133,0.0683333333333333
334,35,12134,0.0766666666666667
334,35,12135,0.0763888888888889
334,35,12136,0.0683333333333333
334,35,12321,0.00777777777777778
334,35,12322,0.0763888888888889
334,35,12323,0.0766666666666667
334,35,12324,0.0763888888888889
334,35,12509,0.0025
334,35,12510,0.0852777777777778
334,35,12511,0.0555555555555556
334,35,12696,0.0416666666666667
334,35,12697,0.105555555555556
334,35,12869,0.0175
334,35,12882,0.0138888888888889
334,35,12883,0.131111111111111
334,35,12884,0.0341666666666667
334,35,13054,0.128611111111111
334,35,13069,0.0972222222222222
334,35,13070,0.0819444444444444
334,35,13239,0.128611111111111
334,35,13246,0.0397222222222222
334,35,13247,0.0844444444444444
334,35,13248,0.0844444444444444
334,35,13249,0.0844444444444444
334,35,13250,0.0847222222222222
334,35,13251,0.0847222222222222
334,35,13252,0.179444444444444
334,35,13253,0.0541666666666667
334,35,13254,0.0311111111111111
334,35,13255,0.2525
334,35,13256,0.251666666666667
334,35,13424,0.128611111111111
334,35,13430,0.0119444444444444
334,35,13431,0.0427777777777778
334,35,13438,0.1325
334,35,13439,0.1725
334,35,13609,15.0838888888889
334,35,13610,0.11
334,35,13615,0.0547222222222222
334,35,13795,0.151388888888889
334,35,13796,0.131944444444444
334,35,13799,0.120277777777778
334,35,13800,0.0147222222222222
334,35,13981,0.0477777777777778
334,35,13982,0.0502777777777778
334,35,13983,0.0525
334,35,13984,0.197222222222222
334,35,14167,0.0266666666666667
334,35,14168,0.200277777777778
334,36,12869,0.230277777777778
334,36,13054,0.208055555555556
334,36,13239,0.267777777777778
334,36,13424,0.886111111111111
334,36,13609,15.2130555555556
334,36,13794,0.0758333333333333
334,37,12869,0.127777777777778
334,37,12870,0.0638888888888889
334,37,13054,0.0991666666666667
334,37,13055,0.0930555555555556
334,37,13239,0.208611111111111
334,37,13240,0.106666666666667
334,37,13424,0.5825
334,37,13425,0.0127777777777778
334,37,13609,16.8483333333333
334,38,13239,0.0677777777777778
334,38,13424,0.0930555555555556
334,38,13609,15.8627777777778
334,38,13610,0.0880555555555556
334,38,13611,0.0880555555555556
334,38,13612,0.0880555555555556
334,38,13613,0.0880555555555556
334,38,13614,0.0877777777777778
334,38,13615,0.0680555555555556
334,38,13616,0.0583333333333333
334,38,13617,0.0588888888888889
334,38,13618,0.0597222222222222
334,38,13619,0.0505555555555556
334,38,13800,0.00138888888888889
334,38,13804,0.0113888888888889
334,38,13805,0.0675
334,38,13806,0.02
334,38,13991,0.0472222222222222
334,38,13992,0.0516666666666667
334,38,14177,0.0155555555555556
334,38,14178,0.0675
334,38,14179,0.0161111111111111
334,38,14364,0.0511111111111111
334,38,14365,0.0480555555555556
334,38,14550,0.0191666666666667
334,38,14551,0.0672222222222222
334,38,14552,0.0122222222222222
334,38,14736,0.116944444444444
334,38,14737,0.133888888888889
334,38,14921,0.254444444444444
334,38,15106,0.201111111111111
334,38,15107,0.211388888888889
334,38,15108,0.676666666666667
334,38,15109,0.312777777777778
334,38,15292,0.633333333333333
334,38,15477,1.00722222222222
334,38,15478,0.374722222222222
334,38,15662,0.75
334,38,15663,0.000833333333333333
334,38,15846,0.721388888888889
334,38,15847,0.278055555555556
334,39,13425,0.0744444444444444
334,39,13609,10.7669444444444
334,39,13610,0.399444444444444
334,39,13611,0.0577777777777778
334,39,13612,0.0366666666666667
334,39,13613,0.0152777777777778
334,39,13620,0.0436111111111111
334,39,13621,0.0527777777777778
334,39,13622,0.055
334,39,13623,0.0541666666666667
334,39,13796,0.0527777777777778
334,39,13797,0.0605555555555556
334,39,13798,0.0822222222222222
334,39,13799,0.0975
334,39,13800,0.0975
334,39,13801,0.0675
334,39,13802,0.0608333333333333
334,39,13803,0.0608333333333333
334,39,13804,0.0608333333333333
334,39,13805,0.01
334,39,13808,0.00916666666666667
334,39,13809,0.0630555555555556
334,39,13810,0.0630555555555556
334,39,13811,0.0630555555555556
334,39,13812,0.0383333333333333
334,39,13986,0.0302777777777778
334,39,13987,0.0369444444444444
334,39,13988,0.035
334,39,13997,0.0247222222222222
334,39,13998,0.0630555555555556
334,39,13999,0.0633333333333333
334,39,14000,0.0652777777777778
334,39,14173,0.00194444444444444
334,39,14174,0.0369444444444444
334,39,14175,0.0369444444444444
334,39,14176,0.0263888888888889
334,39,14185,0.000833333333333333
334,39,14186,0.0791666666666667
334,39,14187,0.0113888888888889
334,39,14361,0.0105555555555556
334,39,14362,0.0369444444444444
334,39,14363,0.0369444444444444
334,39,14364,0.0213888888888889
334,39,14372,0.0936111111111111
334,39,14549,0.0469444444444444
